,TOTAL POP,WHITE POP,BLACK POP,NOT HISPANIC POP,TOTAL HISPANIC POP,NOT HISPANIC WHITE,NAME,STATE,COUNTY,GEO_TRACT
0,5669,3665,1457,5280,389,3504,"Census Tract 1872, Milwaukee County, Wisconsin",55,079,187200
1,6800,5760,32,6460,340,5585,"Census Tract 1873, Milwaukee County, Wisconsin",55,079,187300
2,3371,2844,141,3079,292,2734,"Census Tract 1874, Milwaukee County, Wisconsin",55,079,187400
3,0,0,0,0,0,0,"Census Tract 9800, Milwaukee County, Wisconsin",55,079,980000
4,0,0,0,0,0,0,"Census Tract 9900, Milwaukee County, Wisconsin",55,079,990000
5,3737,462,3026,3722,15,456,"Census Tract 10, Milwaukee County, Wisconsin",55,079,001000
6,3122,214,2254,3080,42,177,"Census Tract 12, Milwaukee County, Wisconsin",55,079,001200
7,2483,283,1434,2426,57,283,"Census Tract 14, Milwaukee County, Wisconsin",55,079,001400
8,3074,391,2496,3074,0,391,"Census Tract 19, Milwaukee County, Wisconsin",55,079,001900
9,2491,291,2042,2377,114,241,"Census Tract 24, Milwaukee County, Wisconsin",55,079,002400
10,2961,109,2730,2872,89,108,"Census Tract 26, Milwaukee County, Wisconsin",55,079,002600
11,1906,1056,602,1820,86,1023,"Census Tract 80, Milwaukee County, Wisconsin",55,079,008000
12,984,38,855,937,47,0,"Census Tract 84, Milwaukee County, Wisconsin",55,079,008400
13,2327,85,2205,2287,40,84,"Census Tract 68, Milwaukee County, Wisconsin",55,079,006800
14,2813,1947,596,2483,330,1781,"Census Tract 72, Milwaukee County, Wisconsin",55,079,007200
15,3515,3079,118,3248,267,2887,"Census Tract 77, Milwaukee County, Wisconsin",55,079,007700
16,1616,21,1266,1593,23,21,"Census Tract 98, Milwaukee County, Wisconsin",55,079,009800
17,2584,2156,224,2467,117,2047,"Census Tract 108, Milwaukee County, Wisconsin",55,079,010800
18,2321,1924,233,2238,83,1863,"Census Tract 113, Milwaukee County, Wisconsin",55,079,011300
19,2168,494,795,2034,134,427,"Census Tract 122, Milwaukee County, Wisconsin",55,079,012200
20,2456,1387,617,2348,108,1331,"Census Tract 124, Milwaukee County, Wisconsin",55,079,012400
21,3308,2537,260,2401,907,2035,"Census Tract 129, Milwaukee County, Wisconsin",55,079,012900
22,2734,2122,150,2523,211,1984,"Census Tract 144, Milwaukee County, Wisconsin",55,079,014400
23,1334,629,547,1060,274,428,"Census Tract 149, Milwaukee County, Wisconsin",55,079,014900
24,2866,1428,269,932,1934,411,"Census Tract 174, Milwaukee County, Wisconsin",55,079,017400
25,1380,1286,0,1213,167,1183,"Census Tract 184, Milwaukee County, Wisconsin",55,079,018400
26,1962,1376,55,289,1673,201,"Census Tract 188, Milwaukee County, Wisconsin",55,079,018800
