,TOTAL POP,WHITE POP,BLACK POP,NOT HISPANIC POP,TOTAL HISPANIC POP,NOT HISPANIC WHITE,MEDIAN INCOME,TOTAL POP IN HOUSING UNITS,RENTER OCCUPIED HOUSING UNITS,NAME,STATE,COUNTY,GEO_TRACT
0,5669,3665,1457,5280,389,3504,90271,3595,514,"Census Tract 1872, Milwaukee County, Wisconsin",55,079,187200
1,6800,5760,32,6460,340,5585,102827,6780,250,"Census Tract 1873, Milwaukee County, Wisconsin",55,079,187300
2,3371,2844,141,3079,292,2734,85208,3160,1736,"Census Tract 1874, Milwaukee County, Wisconsin",55,079,187400
3,0,0,0,0,0,0,-666666666,0,0,"Census Tract 9800, Milwaukee County, Wisconsin",55,079,980000
4,0,0,0,0,0,0,-666666666,0,0,"Census Tract 9900, Milwaukee County, Wisconsin",55,079,990000
5,3737,462,3026,3722,15,456,28717,3697,2550,"Census Tract 10, Milwaukee County, Wisconsin",55,079,001000
6,3122,214,2254,3080,42,177,26517,3122,2500,"Census Tract 12, Milwaukee County, Wisconsin",55,079,001200
7,2483,283,1434,2426,57,283,39359,2478,1991,"Census Tract 14, Milwaukee County, Wisconsin",55,079,001400
8,3074,391,2496,3074,0,391,39531,3017,1776,"Census Tract 19, Milwaukee County, Wisconsin",55,079,001900
9,2491,291,2042,2377,114,241,27254,2486,1665,"Census Tract 24, Milwaukee County, Wisconsin",55,079,002400
10,2961,109,2730,2872,89,108,29637,2956,2205,"Census Tract 26, Milwaukee County, Wisconsin",55,079,002600
11,1906,1056,602,1820,86,1023,36473,1906,1407,"Census Tract 80, Milwaukee County, Wisconsin",55,079,008000
12,984,38,855,937,47,0,19073,984,758,"Census Tract 84, Milwaukee County, Wisconsin",55,079,008400
13,2327,85,2205,2287,40,84,23047,2185,1562,"Census Tract 68, Milwaukee County, Wisconsin",55,079,006800
14,2813,1947,596,2483,330,1781,56579,2800,1512,"Census Tract 72, Milwaukee County, Wisconsin",55,079,007200
15,3515,3079,118,3248,267,2887,35505,3454,2975,"Census Tract 77, Milwaukee County, Wisconsin",55,079,007700
16,1616,21,1266,1593,23,21,22054,1616,892,"Census Tract 98, Milwaukee County, Wisconsin",55,079,009800
17,2584,2156,224,2467,117,2047,45227,2272,1814,"Census Tract 108, Milwaukee County, Wisconsin",55,079,010800
18,2321,1924,233,2238,83,1863,48571,1957,1501,"Census Tract 113, Milwaukee County, Wisconsin",55,079,011300
19,2168,494,795,2034,134,427,25368,2168,1380,"Census Tract 122, Milwaukee County, Wisconsin",55,079,012200
20,2456,1387,617,2348,108,1331,44620,2444,1406,"Census Tract 124, Milwaukee County, Wisconsin",55,079,012400
21,3308,2537,260,2401,907,2035,46949,3289,1430,"Census Tract 129, Milwaukee County, Wisconsin",55,079,012900
22,2734,2122,150,2523,211,1984,65722,2193,1801,"Census Tract 144, Milwaukee County, Wisconsin",55,079,014400
23,1334,629,547,1060,274,428,19340,1334,1264,"Census Tract 149, Milwaukee County, Wisconsin",55,079,014900
24,2866,1428,269,932,1934,411,24925,2866,2102,"Census Tract 174, Milwaukee County, Wisconsin",55,079,017400
25,1380,1286,0,1213,167,1183,61106,1380,547,"Census Tract 184, Milwaukee County, Wisconsin",55,079,018400
26,1962,1376,55,289,1673,201,38750,1962,762,"Census Tract 188, Milwaukee County, Wisconsin",55,079,018800
27,4754,3162,276,3229,1525,2627,63018,4735,1119,"Census Tract 190, Milwaukee County, Wisconsin",55,079,019000
28,4944,4461,162,4832,112,4364,143529,4939,383,"Census Tract 702, Milwaukee County, Wisconsin",55,079,070200
29,3274,2513,116,3109,165,2427,46481,3274,2088,"Census Tract 804, Milwaukee County, Wisconsin",55,079,080400
30,3796,3417,117,3552,244,3209,46250,3791,1700,"Census Tract 1202.01, Milwaukee County, Wisconsin",55,079,120201
31,2501,2334,98,2316,185,2170,44421,2243,1181,"Census Tract 1705, Milwaukee County, Wisconsin",55,079,170500
32,3176,344,2320,3030,146,319,42016,3168,2081,"Census Tract 3.02, Milwaukee County, Wisconsin",55,079,000302
33,7005,1764,4032,6887,118,1704,46477,6802,2937,"Census Tract 6, Milwaukee County, Wisconsin",55,079,000600
34,2225,363,1724,2130,95,338,29211,2220,1415,"Census Tract 11, Milwaukee County, Wisconsin",55,079,001100
35,2135,216,1702,1998,137,144,32162,2120,1174,"Census Tract 25, Milwaukee County, Wisconsin",55,079,002500
36,2404,196,2118,2355,49,191,32000,2402,1839,"Census Tract 28, Milwaukee County, Wisconsin",55,079,002800
37,4812,267,4313,4745,67,230,30965,4804,2427,"Census Tract 43, Milwaukee County, Wisconsin",55,079,004300
38,4605,3813,292,4369,236,3717,68603,4516,1726,"Census Tract 906, Milwaukee County, Wisconsin",55,079,090600
