,MEDIAN INCOME,TOTAL POP FOR POV RATES,TOTAL POP INCOME BELOW POV RATE,WHITE POP INCOME BELOW POV RATE,BLACK POP INCOME BELOW POV RATE,POP BELOW .50 INCOME POV RATIO,POP .50-.99 INCOME POV RATIO,POP 1.00-1.24 INCOME POV RATIO,NAME,STATE,COUNTY,GEO_TRACT
0,90271,3595,118,118,0,63,55,9,"Census Tract 1872, Milwaukee County, Wisconsin",55,079,187200
1,102827,6772,307,184,0,109,198,79,"Census Tract 1873, Milwaukee County, Wisconsin",55,079,187300
2,85208,3241,384,260,107,258,126,30,"Census Tract 1874, Milwaukee County, Wisconsin",55,079,187400
3,-666666666,0,0,0,0,0,0,0,"Census Tract 9800, Milwaukee County, Wisconsin",55,079,980000
4,-666666666,0,0,0,0,0,0,0,"Census Tract 9900, Milwaukee County, Wisconsin",55,079,990000
5,28717,3666,1269,64,1162,582,687,307,"Census Tract 10, Milwaukee County, Wisconsin",55,079,001000
6,26517,3037,1289,36,988,548,741,102,"Census Tract 12, Milwaukee County, Wisconsin",55,079,001200
7,39359,2478,830,22,547,230,600,110,"Census Tract 14, Milwaukee County, Wisconsin",55,079,001400
8,39531,3074,682,30,652,204,478,655,"Census Tract 19, Milwaukee County, Wisconsin",55,079,001900
9,27254,2491,920,141,737,357,563,424,"Census Tract 24, Milwaukee County, Wisconsin",55,079,002400
10,29637,2953,959,42,816,325,634,335,"Census Tract 26, Milwaukee County, Wisconsin",55,079,002600
11,36473,1902,666,257,362,123,543,75,"Census Tract 80, Milwaukee County, Wisconsin",55,079,008000
12,19073,984,462,38,381,190,272,77,"Census Tract 84, Milwaukee County, Wisconsin",55,079,008400
13,23047,2192,838,20,807,444,394,289,"Census Tract 68, Milwaukee County, Wisconsin",55,079,006800
14,56579,2813,361,189,162,95,266,111,"Census Tract 72, Milwaukee County, Wisconsin",55,079,007200
15,35505,3498,979,842,49,561,418,195,"Census Tract 77, Milwaukee County, Wisconsin",55,079,007700
16,22054,1616,705,4,544,410,295,295,"Census Tract 98, Milwaukee County, Wisconsin",55,079,009800
17,45227,2277,516,406,93,163,353,56,"Census Tract 108, Milwaukee County, Wisconsin",55,079,010800
18,48571,1957,343,259,53,60,283,110,"Census Tract 113, Milwaukee County, Wisconsin",55,079,011300
19,25368,2168,1102,109,391,655,447,43,"Census Tract 122, Milwaukee County, Wisconsin",55,079,012200
20,44620,2456,414,99,200,56,358,274,"Census Tract 124, Milwaukee County, Wisconsin",55,079,012400
21,46949,3308,674,481,47,203,471,45,"Census Tract 129, Milwaukee County, Wisconsin",55,079,012900
22,65722,2253,412,252,30,269,143,63,"Census Tract 144, Milwaukee County, Wisconsin",55,079,014400
23,19340,1323,822,449,279,466,356,27,"Census Tract 149, Milwaukee County, Wisconsin",55,079,014900
24,24925,2861,1422,491,190,680,742,384,"Census Tract 174, Milwaukee County, Wisconsin",55,079,017400
25,61106,1351,201,196,0,50,151,7,"Census Tract 184, Milwaukee County, Wisconsin",55,079,018400
26,38750,1962,674,308,51,208,466,200,"Census Tract 188, Milwaukee County, Wisconsin",55,079,018800
27,63018,4737,733,441,154,308,425,143,"Census Tract 190, Milwaukee County, Wisconsin",55,079,019000
28,143529,4943,130,128,0,53,77,30,"Census Tract 702, Milwaukee County, Wisconsin",55,079,070200
29,46481,3274,617,389,53,242,375,120,"Census Tract 804, Milwaukee County, Wisconsin",55,079,080400
30,46250,3796,313,255,43,167,146,95,"Census Tract 1202.01, Milwaukee County, Wisconsin",55,079,120201
31,44421,2296,620,541,68,369,251,70,"Census Tract 1705, Milwaukee County, Wisconsin",55,079,170500
32,42016,3176,697,36,575,242,455,272,"Census Tract 3.02, Milwaukee County, Wisconsin",55,079,000302
33,46477,6815,2287,364,1575,830,1457,363,"Census Tract 6, Milwaukee County, Wisconsin",55,079,000600
34,29211,2225,737,117,590,338,399,61,"Census Tract 11, Milwaukee County, Wisconsin",55,079,001100
35,32162,2106,577,27,502,356,221,228,"Census Tract 25, Milwaukee County, Wisconsin",55,079,002500
36,32000,2338,755,79,624,198,557,383,"Census Tract 28, Milwaukee County, Wisconsin",55,079,002800
37,30965,4812,931,61,702,515,416,672,"Census Tract 43, Milwaukee County, Wisconsin",55,079,004300
38,68603,4542,579,231,140,461,118,15,"Census Tract 906, Milwaukee County, Wisconsin",55,079,090600
39,45854,2136,236,198,14,71,165,44,"Census Tract 1006, Milwaukee County, Wisconsin",55,079,100600
40,61808,3188,209,208,1,138,71,20,"Census Tract 1007, Milwaukee County, Wisconsin",55,079,100700
41,48068,3981,540,395,124,247,293,192,"Census Tract 1009, Milwaukee County, Wisconsin",55,079,100900
42,61111,3343,470,233,104,288,182,95,"Census Tract 1017, Milwaukee County, Wisconsin",55,079,101700
43,53324,2541,316,196,34,47,269,48,"Census Tract 1018, Milwaukee County, Wisconsin",55,079,101800
44,86504,5855,255,179,26,154,101,92,"Census Tract 1402.02, Milwaukee County, Wisconsin",55,079,140202
45,73586,3093,251,175,70,48,203,6,"Census Tract 1704, Milwaukee County, Wisconsin",55,079,170400
